Voltage(V),Measured_Current(A),Fitted_Current(A),Diode_Current(A),Ohmic_Current(A),Nonohmic_Current(A),Relative_Error(%)
-0.20999999999999974,-6.93e-08,-7.49576480608989e-08,-6.136700348915705e-08,-2.0997240927090723e-11,-1.356964733079986e-08,8.16399428971311
-0.19999999999999973,-6.97e-08,-7.33979737229457e-08,-6.130788979442666e-08,-1.9997298336245413e-11,-1.207008663020718e-08,5.305557691771887
-0.18999999999999972,-6.65e-08,-7.192087552242486e-08,-6.122995692983345e-08,-1.8997352705902608e-11,-1.0671921239907644e-08,8.151692487705962
-0.17999999999999972,-6.7e-08,-7.051830354237633e-08,-6.112721365767078e-08,-1.799740433236706e-11,-9.37309248040262e-09,5.251199299576597
-0.1699999999999997,-6.38e-08,-6.918023425790804e-08,-6.099176138633917e-08,-1.6997453584588933e-11,-8.171475418012323e-09,8.432969026932728
-0.1599999999999997,-6.43e-08,-6.789405733076825e-08,-6.081318696764437e-08,-1.5997500926734902e-11,-7.0648728621653485e-09,5.589513714396639
-0.1499999999999997,-6.12e-08,-6.664376817850791e-08,-6.057776220856372e-08,-1.4997546947908426e-11,-6.051008422959537e-09,8.89504601104074
-0.13999999999999968,-6.22e-08,-6.540890458812525e-08,-6.026738858367284e-08,-1.3997592401291326e-11,-5.127518412023241e-09,5.159010573424353
-0.12999999999999967,-6.12e-08,-6.416314600698531e-08,-5.985820606736223e-08,-1.2997638255701668e-11,-4.291942301385181e-09,4.84174182391255
-0.11999999999999966,-6.01e-08,-6.287246826558208e-08,-5.931875922116905e-08,-1.1997685763515516e-11,-3.5417113586569375e-09,4.613091938999934
-0.10999999999999965,-5.88e-08,-6.149271237552676e-08,-5.8607579701325035e-08,-1.099773655015565e-11,-2.8741349376431763e-09,4.579442798228495
-0.09999999999999964,-5.73e-08,-5.996638109515518e-08,-5.766999960527567e-08,-9.997792732004934e-12,-2.2863836971579344e-09,4.653370130580499
-0.08999999999999964,-5.58e-08,-5.821841771406289e-08,-5.643395115156166e-08,-8.997857071782604e-12,-1.7754687054168428e-09,4.334081907597313
-0.07999999999999963,-5.38e-08,-5.61506434421474e-08,-5.480443062146586e-08,-7.997933183295217e-12,-1.338214887510539e-09,4.369225710865746
-0.06999999999999962,-5.15e-08,-5.363442690781313e-08,-5.265620243563996e-08,-6.9980258012608715e-12,-9.712264463540071e-10,4.144518249729039
-0.05999999999999961,-4.86e-08,-5.0501023636070704e-08,-4.982418504973591e-08,-5.9981411368977854e-12,-6.708404451978384e-10,3.911571249763935
-0.0499999999999996,-4.49e-08,-4.652884440553587e-08,-4.609078406321255e-08,-4.9982873465560285e-12,-4.330620549757748e-10,3.6277158073067417
-0.03999999999999959,-4.01e-08,-4.142667461003212e-08,-4.116920659988985e-08,-3.9984751493863654e-12,-2.534695349987201e-10,3.3084154680447946
-0.029999999999999583,-3.39e-08,-3.481155133332717e-08,-3.468148790985974e-08,-2.998718641650283e-12,-1.2706470482764386e-10,2.68894196860331
-0.019999999999999574,-2.57e-08,-2.6179575733618637e-08,-2.6129564799188698e-08,-1.9990363710701213e-12,-4.801189805638073e-11,1.8660534220823655
-0.009999999999999565,-1.47e-08,-1.486730825653309e-08,-1.4857213679140304e-08,-9.994527578104507e-13,-9.09512463579627e-12,1.1381513877951532
4.440892098500626e-16,4.57e-12,7.517537401778222e-22,7.517093589276792e-22,4.43812501144192e-26,8.178206642242569e-44,99.99514147552325
0.010000000000000453,1.95e-08,1.9590561351664752e-08,1.958047074471358e-08,9.992789023068538e-13,9.091328050292956e-12,0.4644171827361003
0.020000000000000462,4.6e-08,4.5432835025329e-08,4.538286563934174e-08,1.9983276889343323e-12,4.797105830172367e-11,1.2329673302896993
0.03000000000000047,8.53e-08,7.950916190717349e-08,7.937926737858745e-08,2.9970733930381667e-12,1.2689745519431264e-10,6.788790243554943
0.04000000000000048,1.32e-07,1.2442015818279497e-07,1.2416315774442228e-07,3.99542029003453e-12,2.5300501808983083e-10,5.742304397314051
0.05000000000000049,1.95e-07,1.8357954009492424e-07,1.831425330396557e-07,4.993242726407749e-12,4.320138125494382e-10,5.856646098498159
0.0600000000000005,2.77e-07,2.614658231709301e-07,2.6079107481310057e-07,5.990375855058358e-12,6.687579819698888e-10,5.608006070981094
0.0700000000000005,3.87e-07,3.6394781007117557e-07,3.629733972308429e-07,6.986603654608294e-12,9.674262366648632e-10,5.956638221084767
0.08000000000000052,5.32e-07,4.987034268169967e-07,4.973637623762096e-07,7.981643512699334e-12,1.3316827972666796e-09,6.258754355095145
0.09000000000000052,7.25e-07,6.757546235470949e-07,6.739809252099383e-07,8.97512653713913e-12,1.764723210620134e-09,6.792465715561777
0.10000000000000053,9.81e-07,9.081434254258366e-07,9.058641729470833e-07,9.966572671532576e-12,2.2692859060758505e-09,7.426766009956438
0.11000000000000054,1.31e-06,1.2127743361953056e-06,1.209915753564355e-06,1.095535968773448e-11,2.847627271250479e-09,7.421806396046918
0.12000000000000055,1.76e-06,1.6114437781884825e-06,1.6079303755573994e-06,1.1940685293784852e-11,3.501461945774185e-09,8.440694420044059
0.13000000000000056,2.34e-06,2.1320644053414096e-06,2.12781961670408e-06,1.2921522068876142e-11,4.231867115230172e-09,8.886136523028174
0.14000000000000057,3.11e-06,2.810065730415714e-06,2.805012685025145e-06,1.389656590847225e-11,5.039148824658824e-09,9.644188731925128
0.15000000000000058,4.1e-06,3.6899061673881012e-06,3.683968633347063e-06,1.4864180368410794e-11,5.9226698606722025e-09,10.002288599748512
0.1600000000000006,5.37e-06,4.826559409448285e-06,4.819662943804125e-06,1.582234195367119e-11,6.880643302214999e-09,10.119936508924484
0.1700000000000006,7e-06,6.286738743196376e-06,6.278812070284003e-06,1.676859505329828e-11,7.909904317296246e-09,10.18944652544284
0.1800000000000006,9.05e-06,8.149507080728284e-06,8.140483695104975e-06,1.770002948608254e-11,9.005685593793547e-09,9.950198002758254
0.1900000000000006,1.15e-05,1.0505820278405063e-05,1.0495640227386892e-05,1.861329731027655e-11,1.0161437720832831e-08,8.645041057180363
0.20000000000000062,1.46e-05,1.345652627096838e-05,1.3445138015613467e-05,1.950468647231532e-11,1.1368750668428778e-08,7.832011842563224
0.21000000000000063,1.84e-05,1.710847017047198e-05,1.7095832361839296e-05,2.037026417198714e-11,1.2617438368555742e-08,7.019183856045842
0.22000000000000064,2.28e-05,2.1568693060487385e-05,2.155477601886564e-05,2.1206090395677554e-11,1.3895835531327007e-08,5.400469032897466
0.23000000000000065,2.8e-05,2.6937233692146685e-05,2.6922020365494292e-05,2.200848287459514e-11,1.519131816956447e-08,3.7955939565888808
0.24000000000000066,3.4e-05,3.3299590413959206e-05,3.328307663763982e-05,2.277429454925675e-11,1.6491002024876354e-08,2.0600281942241754
0.25000000000000067,4.09e-05,4.072022091082296e-05,4.070241489377453e-05,2.3501152833851578e-11,1.7782515895604896e-08,0.4395576752470885
0.2600000000000007,4.87e-05,4.9238338453831915e-05,4.9219259549767486e-05,2.4187614349661625e-11,1.9054716450108514e-08,1.1054177696703538
0.2700000000000007,5.74e-05,5.8866699840525885e-05,5.8846376782769e-05,2.48332095390712e-11,2.029822454737863e-08,2.555226202996885
0.2800000000000007,6.68e-05,6.959330770815747e-05,6.957177655474519e-05,2.543838000609798e-11,2.1505715032430485e-08,4.181598365491293
0.2900000000000007,7.7e-05,8.138530010537482e-05,8.136260214324859e-05,2.600433534738845e-11,2.267195779101546e-08,5.695194942028792
0.3000000000000007,8.77e-05,9.419399512830814e-05,9.41701749352076e-05,2.6532867467112726e-11,2.3793660233142816e-08,7.4047834986222245
